Date,Open,High,Low,Close,Adj Close,Volume
01-10-2003,0.369821,0.446607,0.360536,0.40875,0.346048,7040191200
01-11-2003,0.407679,0.416071,0.354464,0.373393,0.316114,4974104800
01-12-2003,0.375714,0.391071,0.34375,0.381607,0.323068,5453873600
01-01-2004,0.384821,0.443571,0.378214,0.402857,0.341059,7927802400
01-02-2004,0.401071,0.430357,0.3875,0.427143,0.361619,4922030400
01-03-2004,0.430357,0.5025,0.421429,0.482857,0.408787,11626115200
01-04-2004,0.480179,0.528214,0.455179,0.460357,0.389738,8930174400
01-05-2004,0.464286,0.513929,0.455357,0.501071,0.424206,5304275200
01-06-2004,0.49625,0.610536,0.493036,0.581071,0.491934,8227234400
01-07-2004,0.573214,0.600536,0.513214,0.5775,0.488911,9696579200
01-08-2004,0.556786,0.628214,0.530357,0.615893,0.521414,8011365600
01-09-2004,0.6125,0.70125,0.610536,0.691964,0.585817,7673506400
01-10-2004,0.698571,0.95,0.672321,0.935714,0.792175,16094366400
01-11-2004,0.9375,1.242321,0.929286,1.197321,1.013651,17439604000
01-12-2004,1.210536,1.213393,1.1,1.15,0.973589,15948615200
01-01-2005,1.156786,1.390893,1.117857,1.373214,1.162562,25708244800
01-02-2005,1.375893,1.622857,1.3675,1.602143,1.356373,21448946400
01-03-2005,1.606786,1.611071,1.386786,1.488214,1.259921,14675920000
01-04-2005,1.503214,1.5875,1.214286,1.287857,1.090299,19375518400
01-05-2005,1.293214,1.462143,1.1825,1.42,1.202172,12858294400
01-06-2005,1.424643,1.455714,1.268571,1.314643,1.112976,11327195600
01-07-2005,1.315357,1.585,1.296071,1.523214,1.289553,10094246400
01-08-2005,1.520357,1.726071,1.500714,1.674643,1.417752,9400806800
01-09-2005,1.678571,1.948571,1.646071,1.914643,1.620936,12347770400
01-10-2005,1.934286,2.070714,1.709643,2.056786,1.741274,18643447200
01-11-2005,2.044286,2.538214,2.031071,2.422143,2.050585,13456427600
01-12-2005,2.4625,2.695,2.4575,2.5675,2.173644,13064164400
01-01-2006,2.585,3.085714,2.531071,2.696786,2.283098,21878371200
01-02-2006,2.676786,2.730714,2.246429,2.446071,2.070843,18760697200
01-03-2006,2.458571,2.499643,2.059643,2.24,1.896382,23192632400
01-04-2006,2.273929,2.573214,2.180357,2.513929,2.128291,20119282400
01-05-2006,2.5275,2.635714,2.096071,2.134643,1.807187,15608779200
01-06-2006,2.1375,2.253571,1.978929,2.045357,1.731599,17936623600
01-07-2006,2.054286,2.451071,1.791429,2.427143,2.054819,17479742000
01-08-2006,2.400714,2.5,2.235,2.423214,2.051492,17887646000
01-09-2006,2.445714,2.777857,2.422143,2.749286,2.327543,17721558400
01-10-2006,2.682143,2.95,2.592857,2.895714,2.451509,14387956800
